,Título,Ativos,CEPs,Ratings,estado_localidade
65,BTAG11,[],[],[],[]
66,BTAL11,"['CENTRO DE RECEBIMENTO CASCÁVEL', 'CENTRO DE RECEBIMENTO PALOTINA', 'COMPLEXO SEMENTES TOLEDO', 'CENTRO DE RECEBIMENTO IBEMA', 'TERMINAL INTERMODAL ITURAMA', 'CENTRO DE RECEBIMENTO MARIPÁ', 'TERMINAL PORTUÁRIO VILA VELHA', 'ARMAZÉM GRANELEIRO', 'IMÓVEL ITUMBIARA']",[],[],[]
67,BTCI11,[],[],[],[]
68,BTCR11,[],[],[],[]
69,BTHI11,[],[],[],[]
70,BTLG11,"['IMÓVEL NAVEGANTES', 'ATIVO SBC', 'BRASIL FOODS - BRF', 'BTLG JUNDIAÍ', 'NATURA', 'CONTINENTAL CASTELLO BANCO', 'WESTROCK BRAZIL', 'HORTOLÂNDIA', 'BTLG RIBEIRÃO PRETO', 'EMBU', 'IMOVEL GUARULHOS', 'BTLG COTIA', 'BTLG FARIA LIMA', 'BTLG MAUA', 'BTLG CAMÇARI', 'BTLG CAMPINAS', 'BTLG EXTREMA', 'AMBEV SANTA LUZIA', 'BTLG CAJAMAR I', 'BTLG CAJAMAR II', 'BTLG CAMPINAS II', 'BTLG CABREUVA']",[],[],[]
71,BTML11,[],[],[],[]
72,BTRA11,"['FAZENDA SORRISO - HENDGES', 'FAZENDA COLIBRI - BERGAMASCO', 'FAZENDA MILTON CELLA', 'FAZENDA CACHOEIRIA - RUI PRADO', 'FAZENDA JR', 'FAZENDA TRES IRMÃOS - BERGAMASCO']",[],[],[]
73,BTSG11,['FÁBRICA POUSO ALEGRE'],[],[],[]
74,BTSI11,[],[],[],[]
75,BTWR11,['BROOKFIELD TOWERS'],[],[],[]
76,BTYU11,[],[],[],[]
77,BZEL11,[],[],[],[]
78,CACR11,[],[],[],[]
79,CARE11,[],[],[],[]
80,CBOP11,['TORRE JATOBÁ'],[],[],[]
81,CCME11,"['KASA VILA OLIMPIA', 'SELINA', 'SHOPPING JARDIM SUL']",[],[],[]
82,CCRF11,[],[],[],[]
83,CCVA11,[],[],[],[]
84,CDII11,[],[],[],[]
85,CEOC11,['EDIFÍCIO CORPORATE EXECUTIVE OFFICES'],[],[],[]
86,CFHI11,[],[],[],[]
87,CFII11,[],[],[],[]
88,CIXM11,[],[],[],[]
89,CJCT11,['CIDADE JARDIM CONTINENTAL TOWER'],[],[],[]
90,CLIN11,[],[],[],[]
91,CNES11,['CENTRO EMPRESARIAL DE SÃO PAULO'],[],[],[]
92,COPP11,[],[],[],[]
93,CORM11,[],[],[],[]
94,CPFF11,[],[],[],[]
95,CPFO11,[],[],[],[]
96,CPOF11,"['FARIA LIMA PLAZA', 'OSCAR FREIRE OFFICE', 'SPOT LEBLON']",[],[],[]
97,CPSH11,"['CATARINA FASHION OUTLET', 'IGUATEMI FORTALEZA', 'SHOPPING CIDADE JARDIM', 'PRAIA DE BELAS', 'SHOPPING METRO TATUAPÉ', 'SHOPPING BOULEVARD TATUAPÉ', 'PARQUE DOM PEDRO SHOPPING', 'IGUATEMI FASHION OUTLET NOVO HAMBURGO', 'RIO DESIGN LEBLON']",[],[],[]
98,CPTI11,[],[],[],[]
99,CPTR11,[],[],[],[]
100,CPTS11,[],[],[],[]
101,CRAA11,[],[],[],[]
102,CRFF11,[],[],[],[]
103,CSMC11,[],[],[],[]
104,CTXT11,['CENTRO TÊXTIL INTERNACIONAL'],[],[],[]
105,CVBI11,[],[],[],[]
106,CVPR11,[],[],[],[]
107,CXAG11,"['AGÊNCIA MADUREIRA', 'AGÊNCIA ITABIRA', 'AGÊNCIA GIOVANNI BREDA', 'AGÊNCIA ATIBAIA', 'AGÊNCIA MONTES CLAROS', 'AGÊNCIA PIRACICABA', 'AGÊNCIA BAEPENDI', 'AGÊNCIA GUIA LOPES', 'AGÊNCIA OSORIO', 'AGÊNCIA MANCHESTER', 'AGÊNCIA SOLEDADE', 'AGÊNCIA SÃO LOURENÇO', 'AGÊNCIA SANTA CRUZ DO SUL', 'AGÊNCIA FREIRE ALEMÃO', 'AGÊNCIA HORTO DE IPATINGA', 'AGÊNCIA JACAREI', 'AGÊNCIA INHANGA', 'AGÊNCIA CACHOEIRA DO SUL', 'AGÊNCIA URUGUAIANA', 'AGÊNCIA QUEIMADOS', 'AGÊNCIA PILARES', 'AGÊNCIA PELOTAS', 'AGÊNCIA RIBEIRÃO PIRES', 'AGÊNCIA ARAGUARI', 'AGÊNCIA BELA VISTA', 'AGÊNCIA MAGÉ', 'AGÊNCIA CAPÃO DA CANOA', 'AGÊNCIA ELOI MENDES', 'AGÊNCIA BOM FIM', 'AGÊNCIA MACAÉ', 'AGÊNCIA FREDERICO WESTPHALEN', 'AGÊNCIA LAJEADO']",[],[],[]
108,CXCE11B,['CEDAE'],[],[],[]
109,CXCI11,[],[],[],[]
110,CXCO11,"['EDIFÍCIO CAIXA', 'EDIFÍCIO QUERENCIA', 'EDIFÍCIO CARLOS GO', 'EDIFÍCIO SEDE CONTORNO', 'EDIFÍCIO CASCAVEL', 'EDIFÍCIO SEDE MATO GROSSO', 'EDIFÍCIO BLUMENAU', 'EDIFÍCIO CICOB', 'EDIFÍCIO NOVO HAMBURGO', 'EDIFÍCIO HORTO FLO']",[],[],[]
111,CXRI11,[],[],[],[]
112,CXTL11,['ATMOSFERA'],[],[],[]
113,CYCR11,[],[],[],[]
114,DAMA11,[],[],[],[]
115,DAMT11B,['VENTURA SHOPPING DE DESCONTOS'],[],[],[]
116,DCRA11,[],[],[],[]
117,DEVA11,[],[],[],[]
118,DLMT11,"['EDIFÍCIO HORIZONTE', 'EDIFÍCIO THE LANDMARK', 'SUC N° 101', 'CONDOMÍNIO UBER ITAIM', 'EDIFÍCIO DANIELA']",[],[],[]
119,DPRO11,['GALPÃO ITAPEVI'],[],[],[]
120,DRIT11B,"['EDIFÍCIO PEDRA GRANDE', 'EDIFÍCIO TORRE SUL', 'EDIFÍCIO NAÇÕES UNIDAS']",[],[],[]
121,DVFF11,[],[],[],[]
122,EDFO11B,['EDIFÍCIO OURINVEST'],[],[],[]
123,EDGA11,['EDIFÍCIO GALERIA'],[],[],[]
124,EGAF11,[],[],[],[]
125,ENDD11,[],[],[],[]
126,EQIA11,[],[],[],[]
127,EQIR11,[],[],[],[]
128,ERCR11,[],[],[],[]
129,ERPA11,"['UNIDADE 109', 'UNIDADE 103', 'UNIDADE 209', 'UNIDADE 210', 'UNIDADE 203', 'UNIDADE 201', 'UNIDADE 104', 'UNIDADE 102', 'UNIDADE 204', 'UNIDADE 202']",[],[],[]
130,ESUD11,[],[],[],[]
131,ESUT11,[],[],[],[]
132,ESUU11,[],[],[],[]
133,EURO11,"['CENTRO DE DIAGNÓSTICOS RIO DE JANEIRO - 1', 'CDA 1 - MÓDULOS 1/2/3/4', 'CENTRO DE DIAGNÓSTICOS RIO DE JANEIRO - 2', 'CDA 2', 'LABORATÓRIO TESTE DE ELEVADORES', 'CDA 3']",[],[],[]
134,EVBI11,"['GPA GRANJA VIANA', 'MDX MEDICAL CENTER', 'PÃO DE AÇUCAR TITO', 'GPA SANTANA', 'SODIMAC RIBEIRÃO PRETO']",[],[],[]
135,EXES11,[],[],[],[]
136,FAED11,"['LEME', 'TABOÃO DA SERRA', 'VALINHOS']",[],[],[]
137,FAMB11B,['EDIFÍCIO ALMIRANTE BARROSO'],[],[],[]
138,FAOE11,[],[],[],[]
