Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2022-06-01,NAVT11,Títulos e Val. Mob.,"R$ 72,75",965.0,"R$ 0,85","1,14%","3,44%","6,31%","10,78%","1,15%","1,05%","0,90%","5,51%","1,84%","3,00%","7,93%","R$ 95.026.051,40","R$ 90,11","0,81","0,94%","-0,93%","0,00%","0,82%",N/A,N/A,0
2022-06-01,MGCR11,Títulos e Val. Mob.,"R$ 85,33",1209.0,"R$ 1,15","1,32%","3,80%","7,23%","12,79%","1,27%","1,20%","1,07%","6,09%","-0,88%","0,43%","4,88%","R$ 135.199.801,61","R$ 95,06","0,90","1,05%","-0,02%","1,04%","2,10%",N/A,N/A,0
2022-06-01,RECX11,Outros,"R$ 78,92",692.0,"R$ 1,00","1,23%","2,97%","6,31%","12,01%","0,99%","1,05%","1,00%","5,18%","1,72%","2,97%","-9,99%","R$ 18.909.897,31","R$ 86,62","0,91","0,92%","-1,55%","-0,64%","0,48%",N/A,N/A,0
2022-06-01,AFHI11,Títulos e Val. Mob.,"R$ 98,30",12730.0,"R$ 1,40","1,37%","4,03%","7,86%","14,40%","1,34%","1,31%","1,20%","6,58%","2,95%","4,36%","6,95%","R$ 173.824.946,40","R$ 97,24","1,01","1,39%","0,44%","1,83%","3,20%",N/A,N/A,0
2022-06-01,OUFF11,Títulos e Val. Mob.,"R$ 64,85",847.0,"R$ 0,75","1,15%","3,28%","6,30%","11,68%","1,09%","1,05%","0,97%","5,36%","0,63%","1,78%","5,49%","R$ 143.370.322,13","R$ 79,02","0,82","0,95%","-0,77%","0,18%","3,67%",N/A,N/A,0
2022-06-01,OURE11,Títulos e Val. Mob.,"R$ 79,90",2077.0,"R$ 1,10","1,37%","3,66%","6,83%","13,45%","1,22%","1,14%","1,12%","5,50%","0,48%","1,85%","-1,83%","R$ 99.331.744,57","R$ 92,22","0,87","1,19%","-0,42%","0,76%","4,71%",N/A,N/A,0
2022-06-01,ARCT11,Híbrido,"R$ 107,70",22612.0,"R$ 1,86","1,71%","5,15%","9,60%","16,40%","1,72%","1,60%","1,37%","8,03%","2,79%","4,55%","7,79%","R$ 288.419.391,70","R$ 100,20","1,07","1,64%","0,23%","1,87%","3,40%",N/A,N/A,4
2022-06-01,RZAK11,Títulos e Val. Mob.,"R$ 96,53",10096.0,"R$ 1,80","1,84%","4,88%","9,04%","14,86%","1,63%","1,51%","1,24%","7,64%","-0,50%","1,33%","10,94%","R$ 282.821.145,09","R$ 94,22","1,02","1,27%","0,35%","1,63%","3,03%",N/A,N/A,0
2022-06-01,BLMC11,Outros,"R$ 89,90",64.0,"R$ 1,25","1,36%","3,78%","7,14%","12,99%","1,26%","1,19%","1,08%","6,02%","-4,16%","-2,85%","-0,55%","R$ 39.216.529,56","R$ 98,16","0,92","1,17%","1,29%","2,48%","0,96%",N/A,N/A,0
2022-06-01,CORM11,Híbrido,"R$ 89,23",30.0,"R$ 0,81","0,94%","2,68%","5,43%","11,56%","0,89%","0,90%","0,96%","4,38%","-6,72%","-5,84%","-5,63%","R$ 92.123.992,72","R$ 90,56","0,99","0,89%","-2,33%","-1,45%","0,21%",N/A,N/A,0
