Data,Códigodo fundo,Setor,Preço Atual,Volume (21D),Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2019-02-11,SAAG11,Outros,"121,00",6593.0,"R$ 0,8700","0,6938%","2,0609%","4,3589%","8,4017%","0,6870%","0,7265%","0,7001%","0,6938%","0,0000%","0,6938%","0,6938%","R$ 507.597.592,62","R$ 90,14","1,3424","0,9652%","0,1266%","1,0931%","15,2997%",N/A,N/A,28
2019-02-11,SDIL11,Logística,"107,50",5298.0,"R$ 0,6400","0,5664%","1,8382%","3,8900%","7,8784%","0,6127%","0,6483%","0,6565%","0,5664%","0,0000%","0,5664%","0,5664%","R$ 317.529.261,92","R$ 92,76","1,1589","0,6899%","0,3251%","1,0173%","7,9932%","0,00%",N/A,1
2019-02-11,SPTW11,Lajes Corporativas,"80,00",2656.0,"R$ 0,6100","0,7578%","2,3822%","4,6293%","8,9583%","0,7941%","0,7716%","0,7465%","0,7578%","0,0000%","0,7578%","0,7578%","R$ 134.412.659,49","R$ 74,76","1,0701","0,8160%","0,2565%","1,0746%","10,4541%","0,00%",N/A,2
2019-02-11,XTED11,Lajes Corporativas,"7,77",1092.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","1,0962%","1,0962%","-37,8277%","R$ 46.819.165,48","R$ 26,12","0,2975",N/A,N/A,N/A,N/A,"100,00%","100,00%",2
2019-02-11,TRXL11,Logística,"94,29",2633.0,"R$ 0,3655","0,4400%","1,4138%","2,8587%","5,6275%","0,4713%","0,4765%","0,4690%","0,4400%","0,0000%","0,4400%","0,4400%","R$ 189.069.283,20","R$ 101,24","0,9313","0,3612%","0,0287%","0,3900%","0,1590%","24,60%","38,20%",6
2019-02-11,XPCM11,Lajes Corporativas,"97,24",4560.0,"R$ 0,8500","0,8646%","2,6727%","5,2362%","10,1379%","0,8909%","0,8727%","0,8448%","0,8646%","0,0000%","0,8646%","0,8646%","R$ 199.898.665,91","R$ 82,79","1,1746","1,0267%","-0,0209%","1,0056%","15,8314%","0,00%","0,00%",1
2019-02-11,KNIP11,Títulos e Val. Mob.,"108,85",14534.0,"R$ 0,4600","0,4121%","1,6837%","3,7706%","7,7009%","0,5612%","0,6284%","0,6417%","0,4121%","0,0000%","0,4121%","0,4121%","R$ 1.832.899.795,84","R$ 105,03","1,0364","0,5237%","1,3999%","1,9309%","10,5816%",N/A,N/A,0
2019-02-11,FAED11,Outros,"224,89",0.0,"R$ 1,4318","0,6367%","2,0989%","4,3506%","8,6686%","0,6996%","0,7251%","0,7224%","0,6367%","0,0000%","0,6367%","0,6367%","R$ 100.314.868,42","R$ 156,21","1,4396","0,9989%","-2,8636%","-1,8933%","8,6329%","0,00%",N/A,3
2019-02-11,CNES11,Lajes Corporativas,"75,50",0.0,"R$ 0,1158","0,1484%","0,2991%","1,1609%","2,9196%","0,0997%","0,1935%","0,2433%","2,9196%","-0,5102%","-0,3625%","-20,0930%","R$ 277.435.808,81","R$ 94,07","0,8026","0,1231%","-0,0064%","0,1167%","-7,3297%","59,80%",N/A,1
2019-02-11,FLRP11,Shoppings,"1.250,00",20.0,"R$ 9,0517","0,7083%","1,7693%","3,2291%","7,0097%","0,5898%","0,5382%","0,5841%","7,0097%","2,1583%","2,8818%","17,1367%","R$ 81.563.821,65","R$ 1.464,58","0,8535","0,6180%","5,6543%","6,3072%","11,0186%","2,87%",N/A,1
2019-02-11,FEXC11,Títulos e Val. Mob.,"104,85",0.0,"R$ 0,4600","0,4387%","1,7861%","4,3158%","9,0785%","0,5954%","0,7193%","0,7565%","0,4387%","0,0000%","0,4387%","0,4387%","R$ 147.197.625,67","R$ 100,73","1,0409","0,6155%","0,0749%","0,6908%","10,4054%",N/A,N/A,0
2019-02-11,EDGA11,Lajes Corporativas,"48,49",0.0,"R$ 0,3940","0,8139%","2,2209%","3,5441%","4,9242%","0,7403%","0,5907%","0,4103%","4,9242%","7,8912%","8,7694%","4,8173%","R$ 326.110.397,19","R$ 85,55","0,5668","0,4605%","4,7154%","5,1976%","6,9924%","19,50%",N/A,1
2019-02-11,NSLU11,Hospital,"225,40",0.0,"R$ 1,7105","0,7555%","2,1631%","4,2663%","8,1096%","0,7210%","0,7111%","0,6758%","8,1096%","1,7528%","2,5216%","-7,1959%","R$ 207.208.751,88","R$ 181,00","1,2453","0,9450%","-12,2877%","-11,4588%","-3,6518%","0,00%",N/A,1
